Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_SOD-123",171.462000,-71.150000,90.000000,bottom
"D2","D","D_SOD-123",13.112000,-71.150000,90.000000,bottom
"D3","D","D_SOD-123",171.462000,-90.200000,90.000000,bottom
"D4","D","D_SOD-123",13.112000,-90.200000,90.000000,bottom
"D5","D","D_SOD-123",171.462000,-109.250000,90.000000,bottom
"D6","D","D_SOD-123",13.112000,-109.250000,90.000000,bottom
"D7","D","D_SOD-123",171.462000,-128.300000,90.000000,bottom
"D8","D","D_SOD-123",20.319000,-128.300000,90.000000,bottom
"D9","D","D_SOD-123",188.057000,-51.450000,90.000000,bottom
"D10","D","D_SOD-123",190.512000,-71.150000,90.000000,bottom
"D11","D","D_SOD-123",190.512000,-90.200000,90.000000,bottom
"D12","D","D_SOD-123",190.512000,-109.250000,90.000000,bottom
"D13","D","D_SOD-123",13.112000,-52.100000,90.000000,bottom
"D14","D","D_SOD-123",32.162000,-71.150000,90.000000,bottom
"D15","D","D_SOD-123",32.162000,-90.200000,90.000000,bottom
"D16","D","D_SOD-123",32.162000,-109.250000,90.000000,bottom
"D17","D","D_SOD-123",209.562000,-48.500000,90.000000,bottom
"D18","D","D_SOD-123",209.562000,-67.550000,90.000000,bottom
"D19","D","D_SOD-123",209.562000,-86.600000,90.000000,bottom
"D20","D","D_SOD-123",209.562000,-105.650000,90.000000,bottom
"D21","D","D_SOD-123",32.162000,-52.100000,90.000000,bottom
"D22","D","D_SOD-123",51.212000,-67.050000,90.000000,bottom
"D23","D","D_SOD-123",51.212000,-86.100000,90.000000,bottom
"D24","D","D_SOD-123",51.212000,-105.150000,90.000000,bottom
"D25","D","D_SOD-123",228.612000,-46.050000,90.000000,bottom
"D26","D","D_SOD-123",228.612000,-65.100000,90.000000,bottom
"D27","D","D_SOD-123",228.612000,-84.150000,90.000000,bottom
"D28","D","D_SOD-123",228.612000,-103.200000,90.000000,bottom
"D29","D","D_SOD-123",51.212000,-48.000000,90.000000,bottom
"D30","D","D_SOD-123",70.262000,-63.550000,90.000000,bottom
"D31","D","D_SOD-123",70.262000,-82.600000,90.000000,bottom
"D32","D","D_SOD-123",70.262000,-101.650000,90.000000,bottom
"D33","D","D_SOD-123",247.662000,-48.000000,90.000000,bottom
"D34","D","D_SOD-123",247.662000,-67.050000,90.000000,bottom
"D35","D","D_SOD-123",247.662000,-86.100000,90.000000,bottom
"D36","D","D_SOD-123",247.662000,-105.150000,90.000000,bottom
"D37","D","D_SOD-123",70.262000,-44.500000,90.000000,bottom
"D38","D","D_SOD-123",89.312000,-67.650000,90.000000,bottom
"D39","D","D_SOD-123",89.312000,-86.700000,90.000000,bottom
"D40","D","D_SOD-123",89.312000,-105.750000,90.000000,bottom
"D41","D","D_SOD-123",190.512000,-128.300000,90.000000,bottom
"D42","D","D_SOD-123",89.312000,-124.800000,90.000000,bottom
"D51","D","D_SOD-123",266.712000,-52.100000,90.000000,bottom
"D52","D","D_SOD-123",266.712000,-71.150000,90.000000,bottom
"D53","D","D_SOD-123",266.712000,-90.200000,90.000000,bottom
"D54","D","D_SOD-123",266.712000,-109.250000,90.000000,bottom
"D55","D","D_SOD-123",209.562000,-124.700000,90.000000,bottom
"D56","D","D_SOD-123",89.312000,-48.600000,90.000000,bottom
"D57","D","D_SOD-123",108.362000,-71.150000,90.000000,bottom
"D58","D","D_SOD-123",108.362000,-90.200000,90.000000,bottom
"D59","D","D_SOD-123",108.362000,-109.250000,90.000000,bottom
"D60","D","D_SOD-123",108.362000,-128.300000,90.000000,bottom
"D61","D","D_SOD-123",285.762000,-52.100000,90.000000,bottom
"D62","D","D_SOD-123",285.762000,-71.150000,90.000000,bottom
"D63","D","D_SOD-123",285.762000,-90.200000,90.000000,bottom
"D64","D","D_SOD-123",285.762000,-109.250000,90.000000,bottom
"D65","D","D_SOD-123",278.555000,-128.300000,90.000000,bottom
"D66","D","D_SOD-123",108.362000,-52.100000,90.000000,bottom
"D67","D","D_SOD-123",127.412000,-71.150000,90.000000,bottom
"D68","D","D_SOD-123",127.412000,-90.200000,90.000000,bottom
"D69","D","D_SOD-123",127.412000,-109.250000,90.000000,bottom
"D70","D","D_SOD-123",127.412000,-128.300000,90.000000,bottom
